"crssfeed",0.028395,0.004019,0.004233,0.004140,0.006863,0.001311,0.004519,0.004759,0.003962,0.011178,0.002232,0.000826,0.011191,0.000941,0.007451,0.010497,0.013523,0.005436,0.010030,0.005776,0.013018,0.000545,0.006770,0.035831,0.001057,0.000000,0.003934,0.000409,0.003133,0.007030,0.020190,0.002105,0.003161,0.009670,0.003260,0.002498,0.027039,0.006410,0.007431,0.019969,0.025865,0.007694,0.042615,0.058530,0.025552,0.007791,0.001131,0.003598,0.056952,0.003251,0.006421,0.027292,0.004264,0.003488,0.018660,0.031166,0.032061,0.000000,0.010140,0.018417,0.003525,0.005395,0.002416,0.002212,0.004721,0.006095,0.004270,0.001905,0.001867,0.018260,0.005792,0.023732,0.003002,0.050563,0.002214,0.008180,0.013079,0.020740,0.002473,0.004264,0.001187,0.001030,0.039551,0.001292,0.002262,0.000508,0.009171,0.009397,0.003756,0.001438,0.001311,0.044764,

"hk11ks5kt10",0.006370,0.003959,0.004104,0.002611,0.003398,0.001860,0.000000,0.002894,0.010052,0.030153,0.016958,0.002019,0.005591,0.000659,0.004806,0.002381,0.008142,0.003233,0.001352,0.007877,0.046000,0.002770,0.014039,0.033216,0.001841,0.000000,0.007918,0.001268,0.003981,0.004645,0.042420,0.006348,0.002274,0.032372,0.008238,0.001240,0.003355,0.003113,0.006098,0.018337,0.012079,0.007459,0.013591,0.023711,0.007508,0.009361,0.006637,0.002109,0.046711,0.002205,0.009285,0.041244,0.011767,0.010582,0.019089,0.009658,0.014753,0.001484,0.003917,0.000000,0.003550,0.008165,0.003291,0.003381,0.001726,0.003849,0.005452,0.003049,0.003331,0.064059,0.008871,0.042874,0.000000,0.009091,0.000000,0.005395,0.051595,0.015898,0.000489,0.042369,0.001964,0.013323,0.016892,0.002352,0.001947,0.016589,0.010632,0.009548,0.001228,0.000829,0.000897,0.036325,

"FOOTBALL_kashii",0.019414,0.017470,0.001717,0.002774,0.002744,0.005582,0.022270,0.006588,0.007284,0.093169,0.000000,0.000726,0.017723,0.001039,0.005244,0.008006,0.012861,0.001111,0.001782,0.028717,0.007201,0.000290,0.005809,0.021687,0.003104,0.037694,0.007482,0.003176,0.000832,0.005151,0.004318,0.001490,0.001306,0.011111,0.004969,0.002674,0.007550,0.005759,0.001097,0.011826,0.015226,0.002039,0.034893,0.015214,0.004041,0.004904,0.005097,0.001014,0.047335,0.005328,0.003955,0.036805,0.000791,0.021163,0.012721,0.005586,0.030293,0.004406,0.000451,0.000000,0.013675,0.011044,0.001690,0.002191,0.002647,0.010785,0.004082,0.001353,0.000829,0.033932,0.005688,0.035393,0.001909,0.002332,0.001911,0.005984,0.045663,0.018525,0.001792,0.001781,0.000843,0.003219,0.034927,0.005101,0.022089,0.020517,0.012628,0.012777,0.001862,0.002621,0.002706,0.025492,

"miemie_0_0_",0.009241,0.005877,0.001660,0.004866,0.012103,0.003015,0.027105,0.004253,0.020988,0.009750,0.007027,0.008756,0.024065,0.001848,0.001029,0.004528,0.010337,0.009210,0.000498,0.008890,0.047523,0.004577,0.028897,0.023257,0.002713,0.000000,0.007976,0.000000,0.002528,0.018262,0.029677,0.000063,0.004347,0.019312,0.003092,0.000000,0.000116,0.004518,0.015862,0.004625,0.002931,0.003519,0.005671,0.004830,0.007405,0.005934,0.002882,0.006099,0.006911,0.002294,0.008181,0.013455,0.000683,0.002385,0.002936,0.013638,0.021678,0.005531,0.010142,0.000000,0.016576,0.000967,0.008738,0.005621,0.006629,0.001768,0.035951,0.001928,0.000987,0.043848,0.002664,0.012829,0.000000,0.002336,0.008789,0.002950,0.010876,0.044927,0.002566,0.009442,0.021544,0.086298,0.001843,0.006393,0.002391,0.004970,0.073354,0.026923,0.008387,0.020656,0.007351,0.000000,

"sasamikkuma",0.024133,0.008654,0.001979,0.013664,0.023792,0.004204,0.009175,0.001850,0.010891,0.008483,0.000000,0.003408,0.007464,0.002984,0.003023,0.062552,0.002367,0.004559,0.070106,0.016398,0.014018,0.001408,0.003152,0.003489,0.002994,0.036644,0.019272,0.003975,0.001571,0.025622,0.011355,0.004241,0.002169,0.002105,0.004498,0.002173,0.001925,0.012783,0.000750,0.008059,0.001362,0.001895,0.008202,0.013983,0.006661,0.002865,0.003328,0.007999,0.009931,0.000881,0.004065,0.007997,0.002990,0.005540,0.004988,0.003990,0.008315,0.010063,0.013309,0.063411,0.038025,0.006442,0.001046,0.003946,0.001608,0.000491,0.011106,0.001235,0.000543,0.016931,0.019640,0.000561,0.000000,0.060189,0.005986,0.008624,0.001814,0.053922,0.020139,0.010593,0.000000,0.002609,0.007579,0.005756,0.005476,0.002322,0.025562,0.007121,0.022907,0.002160,0.025761,0.006242,

